,Rank,Name,Price
0,1,The Jackbox Party Quintpack,$55.43
1,2,The Jackbox Party Pack 6,$19.49
2,3,The Jackbox Party Pack 3,$14.99
3,4,Tabletop Simulator,$19.99
4,5,Mount & Blade II: Bannerlord,$49.99
5,6,The Jackbox Party Pack 5,$17.99
6,7,The Jackbox Party Pack 4,$14.99
7,8,Sid Meier's Civilization VI : Platinum Edition,$48.14
8,9,DARK SOULS III Deluxe Edition,$14.44
9,10,Fallout 76,$39.99
10,11,DOOM Eternal,$59.99
11,12,The Jackbox Party Pack 2,$12.49
12,13,Valve Index VR Kit,$999.00
13,14,The Jackbox Party Pack,$12.49
14,15,Deadside,$19.99
15,16,Total War: WARHAMMER II,$20.39
16,17,Half-Life: Alyx,$59.99
17,18,Half-Life: Alyx,$59.99
18,19,Sid Meier’s Civilization® VI,$17.99
19,20,Halo: The Master Chief Collection,$39.99
20,21,Grand Theft Auto V,$29.99
21,22,Red Dead Redemption 2,$59.99
22,23,Sekiro™: Shadows Die Twice,$38.99
23,24,Sid Meier's Civilization® VI: Gathering Storm,$19.99
24,25,Stardew Valley,$14.99
25,26,Overcooked! 2,$14.99
26,27,Pummel Party,$14.99
27,28,Dragon's Dogma: Dark Arisen,$9.00
28,29,Rust,$39.99
29,30,RESIDENT EVIL 3,$59.99
30,31,Age of Empires II: Definitive Edition,$19.99
31,32,Green Hell,$24.99
32,33,Divinity: Original Sin 2 - Definitive Edition,$44.99
33,34,The Warlord package,$59.48
34,35,Risk of Rain 2,$19.99
35,36,Drug Dealer Simulator,$16.99
36,37,Last Oasis,$29.99
37,38,ARK: Survival Evolved,$10.00
38,39,The Jackbox Party Trilogy,$31.97
39,40,XCOM®: Chimera Squad,$9.99
40,41,7 Days to Die,$24.99
41,42,The Elder Scrolls V: Skyrim Special Edition,$39.99
42,43,The Jackbox Party Quadpack,$41.22
43,44,The Forest,$19.99
44,45,Deadside + Supporter Pack,$28.48
45,46,Rocket League®,$9.99
46,47,Monster Hunter World: Iceborne,$39.99
47,48,Sid Meier’s Civilization® VI: Rise and Fall,$14.99
48,49,GTFO,$34.99
49,50,Arma 3,$8.99
